component,track,input_life_mean,input_cost_mean,life_mean,life_p25,life_p50,life_p75,cost_mean,cost_p25,cost_p50,cost_p75
Asphalt,replacement,25,112000,24.86,22.33,24.83,27.41,111925.43,100153.56,110554.44,122634.4
Asphalt,maintenance,9,56000,8.98,8.08,8.97,9.9,56027.73,50015.47,55466.85,61262.49
Landscaping,replacement,5,7500,5.0,4.51,5.0,5.5,7500.22,6718.62,7403.18,8205.47
Landscaping,maintenance,5,7500,4.99,4.48,4.99,5.49,7511.88,6709.04,7433.24,8224.25
Fence - Wood,replacement,20,43500,19.99,17.96,20.01,22.02,43504.71,38888.74,42953.37,47729.04
Fence - Wood,maintenance,8,2500,8.0,7.2,8.01,8.81,2507.75,2238.62,2482.17,2745.21
"Electrical, Gas and Water",replacement,10,13250,10.0,8.98,9.99,10.98,13245.49,11840.11,13121.11,14492.92
"Electrical, Gas and Water",maintenance,10,13250,10.01,8.99,10.02,11.02,13249.79,11814.44,13106.74,14519.05
Underground Utilities,replacement,10,25000,9.98,8.98,9.98,10.99,24946.93,22294.94,24696.05,27247.33
Underground Utilities,maintenance,10,25000,10.0,8.98,9.99,11.0,24993.97,22316.93,24774.74,27323.19
Sprinkler System,replacement,5,5000,5.0,4.5,5.01,5.5,4992.77,4470.39,4935.65,5468.44
Sprinkler System,maintenance,5,5000,4.99,4.48,4.99,5.5,4999.81,4472.01,4951.39,5462.88
Property Signage,replacement,25,5000,25.0,22.47,25.01,27.51,4998.71,4459.74,4950.97,5467.98
Windows,replacement,30,495000,30.01,26.97,30.02,33.08,495150.71,443263.05,490500.27,540826.4
Eavestroughs and Downspouts,replacement,30,36500,30.06,26.98,30.11,33.07,36496.94,32662.44,36082.43,39971.59
Exterior Doors,replacement,25,22500,25.07,22.48,25.07,27.59,22537.41,20144.34,22291.15,24624.97
Caulking,replacement,15,63000,15.01,13.5,15.01,16.51,63087.57,56414.49,62486.63,68906.37
Balcony Membrane,replacement,15,171500,14.99,13.49,14.99,16.48,171697.93,153507.06,169845.5,187968.86
Balcony Railings,replacement,25,138000,24.95,22.37,24.97,27.49,137814.2,123263.14,136338.72,150744.03
Garage Doors,replacement,15,21000,15.0,13.43,15.01,16.53,20973.46,18778.62,20752.57,22853.92
Painting - Exterior,replacement,15,25000,15.0,13.47,15.0,16.52,24937.25,22368.96,24642.39,27277.04
Painting - Exterior,maintenance,15,25000,14.95,13.41,14.97,16.47,25013.61,22380.86,24710.06,27390.3
Hardie Plank,replacement,50,55100,49.97,44.9,49.97,55.07,55165.77,49301.36,54535.6,60272.02
Siding Doors,replacement,20,397500,20.06,18.01,20.06,22.04,397962.26,356293.95,393494.74,435442.4
Siding - Stone Veneer,replacement,10,86000,10.0,9.01,9.98,11.02,86031.63,76836.44,84982.71,94394.15
Siding - Stone Veneer,maintenance,10,86000,10.0,8.97,10.01,11.01,85913.19,76925.43,85177.49,93952.19
Siding - Stucco,replacement,50,166000,49.89,44.66,49.94,54.97,166116.91,148644.47,164428.08,181436.52
Siding - Stucco,maintenance,10,25000,10.01,9.02,10.01,11.03,25022.65,22409.57,24746.84,27348.47
Siding - Vinyl,replacement,35,315500,34.98,31.37,34.93,38.53,316495.5,282528.04,313109.64,346275.39
Roof - Asphalt Shingle,replacement,25,551000,25.05,22.57,25.02,27.58,552980.99,494821.72,546678.09,604281.65
Flooring - Carpet,replacement,10,93000,10.02,8.99,10.03,11.03,92822.12,82953.21,91759.21,101415.33
Interior Doors,replacement,0,62000,,,,,61975.71,55604.03,61331.26,67795.91
Painting - Interior,replacement,10,84000,9.99,8.98,9.98,11.02,83952.1,75030.11,83234.59,91666.79
Painting - Interior,maintenance,10,84000,9.97,8.98,9.97,10.97,83763.11,75136.6,82972.46,91652.77
Elevator - Interior,replacement,20,50000,20.04,18.0,20.05,22.06,49952.53,44683.56,49353.69,54722.75
Interior - Lighting,replacement,35,57200,35.02,31.45,34.95,38.62,57342.87,51193.47,56678.32,62840.75
Mailbox,replacement,50,7500,50.05,44.95,50.02,55.15,7517.93,6725.35,7429.01,8207.73
Elevator - Mechanism,replacement,25,625000,25.01,22.46,25.03,27.51,625436.42,559526.79,617294.8,683487.51
Intercom,replacement,50,37500,50.04,44.89,50.08,55.08,37479.34,33475.71,37060.7,41027.31
Main Heating Boilers,replacement,30,245000,29.97,26.95,29.98,33.0,244397.26,219092.23,241901.27,266537.73
Hot Water Heaters,replacement,15,124500,14.98,13.48,14.98,16.5,124235.99,111062.22,122850.83,135641.7
Make Up Air - Parkade,replacement,5,25000,5.0,4.5,5.0,5.5,24983.5,22335.74,24731.37,27383.72
Make Up Air - Parkade,maintenance,5,25000,5.0,4.51,5.0,5.5,24977.16,22404.24,24738.27,27253.6
Security System,replacement,15,32000,15.0,13.46,14.98,16.55,31939.01,28524.0,31581.07,35003.41
Pumps,replacement,8,7500,8.01,7.2,8.01,8.82,7497.78,6706.92,7405.35,8185.42
Pumps,maintenance,8,7500,8.01,7.2,8.0,8.83,7481.94,6677.15,7389.69,8189.1
Unit Heaters,replacement,15,30000,15.01,13.47,15.0,16.52,29996.06,26855.4,29644.32,32783.33
Sump Pumps,replacement,10,12500,9.99,8.97,10.0,11.01,12517.62,11206.87,12364.38,13686.17
Snow Melt,replacement,10,8000,10.0,9.0,10.0,11.02,7982.27,7148.41,7888.06,8716.05
Backflow Preventers,replacement,7,8000,7.0,6.29,7.0,7.69,8009.39,7159.27,7930.5,8774.72
Backflow Preventers,maintenance,7,8000,7.0,6.3,7.01,7.7,7992.98,7153.65,7899.17,8731.58
Carbon Monoxide Detectors,replacement,10,4000,10.01,9.01,10.0,11.04,3987.07,3560.27,3937.66,4366.86
Exhaust Fans,replacement,10,11500,10.0,8.99,10.0,11.0,11507.46,10286.53,11372.52,12585.07
Expansion Tank,replacement,20,25000,19.96,17.96,19.97,21.96,24975.12,22392.46,24752.06,27266.51
Annunciator Panel,replacement,20,55000,19.96,17.87,19.98,22.06,55198.66,49433.61,54680.22,60533.26
